Planet ,Satellite ,Code ,Ephemeris ,Frame ,Epoch(TDB),a(km),e ,ω(deg),M(deg),i(deg),node(deg),P(days),Papsis(yr),Pnode(yr),R.A.(deg),Dec.(deg),Tilt(deg),Ref.
Earth,Moon,301,DE405/LE405,ecliptic,2000-01-01.5,384400.,0.0554,318.15,135.27,5.16,125.08,27.322,5.997,18.600,,,,n/a
Mars,Phobos,401,MAR097,Laplace,2000-01-01.5,9400.,0.015,216.3,189.6,1.1,169.2,0.319033,1.132,2.262,317.7,52.9,0.0,11
Mars,Deimos,402,MAR097,Laplace,2000-01-01.5,23500.,0.000,0.0,205.0,1.8,54.4,1.262361,0.000,54.537,316.7,53.5,0.9,11
Jupiter,Io,501,JUP365,Laplace,2000-01-01.5,421800.,0.004,49.1,330.9,0.0,0.0,1.762732,1.333,0.000,268.1,64.5,0.0,26
Jupiter,Europa,502,JUP365,Laplace,2000-01-01.5,671100.,0.009,45.0,345.4,0.5,184.0,3.525463,1.394,30.202,268.1,64.5,0.0,26
Jupiter,Ganymede,503,JUP365,Laplace,2000-01-01.5,1070400.,0.001,198.3,324.8,0.2,58.5,7.155588,68.301,137.812,268.2,64.6,0.1,26
Jupiter,Callisto,504,JUP365,Laplace,2000-01-01.5,1882700.,0.007,43.8,87.4,0.3,309.1,16.690440,277.921,577.264,268.7,64.8,0.4,26
Jupiter,Amalthea,505,JUP365,Laplace,2000-01-01.5,181400.,0.003,180.1,310.6,0.4,282.9,0.499918,0.196,0.393,268.1,64.5,0.0,26
Jupiter,Thebe,514,JUP365,Laplace,2000-01-01.5,221900.,0.018,26.6,182.1,1.1,340.4,0.676105,0.398,0.797,268.1,64.5,0.0,26
Jupiter,Adrastea,515,JUP365,Laplace,2000-01-01.5,129000.,0.000,0.0,214.5,0.0,0.0,0.298260,0.000,0.000,268.1,64.5,0.0,26
Jupiter,Metis,516,JUP365,Laplace,2000-01-01.5,128000.,0.000,0.0,166.0,0.0,0.0,0.294779,0.000,0.000,268.1,64.5,0.0,26
Jupiter,Himalia,506,JUP344,ecliptic,2000-01-01.5,11440600.,0.160,328.4,66.5,28.1,68.2,250.562210,138.078,285.676,,,,24
